연월,지역본부,매출(억원),목표매출(억원),달성률(%),판매대수,신규고객수
2026-01,수도권,1420,1400,101.4,3180,2410
2026-01,중부,860,900,95.6,1980,1420
2026-01,영남,1150,1100,104.5,2640,1880
2026-01,호남,620,650,95.4,1450,980
2026-02,수도권,1380,1400,98.6,3090,2350
2026-02,중부,890,900,98.9,2050,1470
2026-02,영남,1040,1100,94.5,2380,1710
2026-02,호남,640,650,98.5,1490,1010
2026-03,수도권,1510,1450,104.1,3370,2560
2026-03,중부,940,920,102.2,2160,1550
2026-03,영남,1210,1150,105.2,2760,1980
2026-03,호남,690,660,104.5,1600,1090
2026-04,수도권,1470,1450,101.4,3280,2490
2026-04,중부,970,920,105.4,2230,1600
2026-04,영남,1180,1150,102.6,2690,1930
2026-04,호남,670,660,101.5,1560,1060
2026-05,수도권,1560,1500,104.0,3480,2640
2026-05,중부,1010,950,106.3,2320,1670
2026-05,영남,1090,1180,92.4,2490,1790
2026-05,호남,700,670,104.5,1620,1110
2026-06,수도권,1490,1500,99.3,3320,2520
2026-06,중부,1040,950,109.5,2390,1720
2026-06,영남,1260,1180,106.8,2870,2060
2026-06,호남,480,670,71.6,1120,760
2026-07,수도권,1440,1520,94.7,3210,2440
2026-07,중부,1080,980,110.2,2480,1780
2026-07,영남,1320,1200,110.0,3010,2160
2026-07,호남,530,680,77.9,1230,840
2026-08,수도권,1400,1520,92.1,3120,2370
2026-08,중부,1120,980,114.3,2570,1850
2026-08,영남,1290,1200,107.5,2940,2110
2026-08,호남,610,680,89.7,1420,960
