응답ID,응답일,공장,설비군,담당구분,고장대응만족,예방정비적정,부품수급만족,정비교육만족,월평균고장건수,개선요청분야,자유의견
E001,2026-08-25,아산공장,의장컨베이어,운전,4,4,4,3,3,예방정비 주기,
E002,2026-09-01,전주공장,검사설비,보전,3,4,4,3,4,부품 수급,
E003,2026-09-02,전주공장,도장설비,생산기술,3,3,2,3,7,정비 인력,정비 이력이 종이로 남아 검색이 어렵습니다.
E004,2026-08-25,울산공장,의장컨베이어,생산기술,4,4,3,4,3,이력 관리,
E005,2026-09-01,전주공장,차체용접설비,협력사,4,4,3,2,0,설비 교육,예방정비 덕분에 돌발 정지가 줄었습니다.
E006,2026-08-26,울산공장,물류자동화설비,생산기술,5,3,4,4,1,부품 수급,정비 요청 후 대응이 빠른 편입니다.
E007,2026-08-31,아산공장,도장설비,운전,1,2,1,4,9,정비 인력,정비 이력이 종이로 남아 검색이 어렵습니다.
E008,2026-08-29,아산공장,의장컨베이어,생산기술,5,4,5,3,0,야간 대응,
E009,2026-08-27,전주공장,물류자동화설비,보전,4,3,3,2,1,정비 인력,
E010,2026-08-29,전주공장,차체용접설비,보전,4,5,3,4,2,야간 대응,
E011,2026-08-24,울산공장,물류자동화설비,운전,2,5,4,4,4,이력 관리,예방정비 주기를 설비별로 다르게 잡았으면 합니다.
E012,2026-08-25,울산공장,검사설비,보전,4,5,4,3,1,설비 교육,예방정비 덕분에 돌발 정지가 줄었습니다.
E013,2026-08-27,아산공장,검사설비,보전,4,5,3,3,3,부품 수급,
E014,2026-08-24,아산공장,도장설비,보전,1,3,1,2,9,야간 대응,도장 부스 고장 시 대체 라인이 없어 전체가 멈춥니다.
E015,2026-08-27,전주공장,프레스설비,생산기술,4,4,3,2,4,야간 대응,예방정비 덕분에 돌발 정지가 줄었습니다.
E016,2026-08-31,울산공장,도장설비,운전,3,1,1,4,6,부품 수급,부품 발주에서 입고까지 2주 이상 걸립니다.
E017,2026-09-02,아산공장,차체용접설비,운전,4,4,4,3,2,부품 수급,특이사항 없습니다.
E018,2026-09-01,전주공장,차체용접설비,보전,4,2,3,4,1,정비 인력,신규 입사자 대상 설비 교육이 더 필요합니다.
E019,2026-08-31,울산공장,차체용접설비,생산기술,4,3,4,2,2,부품 수급,정비 요청 후 대응이 빠른 편입니다.
E020,2026-08-27,전주공장,프레스설비,보전,3,3,3,2,2,정비 인력,
E021,2026-08-25,울산공장,검사설비,생산기술,5,4,2,3,3,이력 관리,정비 이력이 종이로 남아 검색이 어렵습니다.
E022,2026-09-01,울산공장,차체용접설비,협력사,5,4,4,2,3,이력 관리,특이사항 없습니다.
E023,2026-08-30,울산공장,검사설비,보전,4,5,3,4,1,부품 수급,정비 요청 후 대응이 빠른 편입니다.
E024,2026-08-26,전주공장,물류자동화설비,협력사,3,4,5,3,3,부품 수급,정비 요청 후 대응이 빠른 편입니다.
E025,2026-09-02,전주공장,물류자동화설비,보전,5,3,5,4,2,야간 대응,
E026,2026-08-30,아산공장,프레스설비,보전,4,3,2,4,0,이력 관리,신규 입사자 대상 설비 교육이 더 필요합니다.
E027,2026-08-26,울산공장,물류자동화설비,협력사,5,4,3,3,3,야간 대응,예방정비 덕분에 돌발 정지가 줄었습니다.
E028,2026-08-26,아산공장,의장컨베이어,생산기술,3,3,3,5,3,정비 인력,
E029,2026-08-28,전주공장,물류자동화설비,생산기술,4,4,4,4,1,부품 수급,예방정비 덕분에 돌발 정지가 줄었습니다.
E030,2026-09-02,울산공장,검사설비,보전,4,5,1,4,1,부품 수급,예방정비 주기를 설비별로 다르게 잡았으면 합니다.
E031,2026-08-29,울산공장,프레스설비,운전,4,4,5,4,3,야간 대응,예방정비 덕분에 돌발 정지가 줄었습니다.
E032,2026-08-28,울산공장,프레스설비,운전,3,4,4,3,1,야간 대응,
E033,2026-08-31,전주공장,프레스설비,생산기술,4,5,3,3,1,부품 수급,예방정비 덕분에 돌발 정지가 줄었습니다.
E034,2026-08-24,울산공장,차체용접설비,보전,4,4,4,3,2,예방정비 주기,특이사항 없습니다.
E035,2026-08-31,아산공장,프레스설비,생산기술,3,5,3,3,2,부품 수급,
E036,2026-08-30,울산공장,검사설비,보전,4,3,5,4,1,이력 관리,특이사항 없습니다.
E037,2026-08-28,울산공장,물류자동화설비,생산기술,5,5,4,3,4,부품 수급,특이사항 없습니다.
E038,2026-09-02,울산공장,물류자동화설비,생산기술,4,3,3,4,0,부품 수급,특이사항 없습니다.
E039,2026-08-28,아산공장,차체용접설비,운전,4,3,5,4,1,예방정비 주기,특이사항 없습니다.
E040,2026-08-25,울산공장,도장설비,보전,3,1,1,4,9,야간 대응,야간에 고장이 나면 대응 인력이 부족합니다.
E041,2026-08-25,아산공장,차체용접설비,보전,5,5,4,4,3,예방정비 주기,특이사항 없습니다.
E042,2026-08-28,아산공장,도장설비,보전,1,2,2,3,6,야간 대응,도장 부스 고장 시 대체 라인이 없어 전체가 멈춥니다.
E043,2026-09-01,울산공장,물류자동화설비,운전,4,5,4,5,4,부품 수급,
E044,2026-08-24,울산공장,검사설비,생산기술,4,2,3,4,0,부품 수급,정비 이력이 종이로 남아 검색이 어렵습니다.
E045,2026-08-27,울산공장,물류자동화설비,생산기술,5,5,2,2,2,설비 교육,예방정비 주기를 설비별로 다르게 잡았으면 합니다.
E046,2026-09-02,전주공장,검사설비,생산기술,3,4,4,1,4,부품 수급,
E047,2026-08-30,전주공장,프레스설비,보전,5,5,3,3,1,이력 관리,
E048,2026-08-24,아산공장,물류자동화설비,생산기술,4,3,4,4,1,야간 대응,
E049,2026-08-28,전주공장,프레스설비,보전,4,5,5,4,4,설비 교육,특이사항 없습니다.
E050,2026-08-31,전주공장,도장설비,협력사,3,2,1,3,10,설비 교육,신규 입사자 대상 설비 교육이 더 필요합니다.
